Location,Date of sample collection,"CFU conting date, after 24 hr incubation",Sample name,Number of Yellow colony,Number of Green colony,Total colonies,Dilution Factor (Final volume/Initial volume),Volume of sample plated in mL,Total CFU/mL,variation,CFU/mL Yellow,CFU/mL Green,Remarks,*= Wet plates --> Spreading
Canal 2,7/7/22,7/8/22,100µLA,24,4,28,1,0.1,280,g,240,40,,
Canal 2,7/7/22,7/8/22,100µLB,14,6,20,1,0.1,200,g,140,60,,
Canal 2,7/7/22,7/8/22,100µLC,35,9,44,1,0.1,440,g,350,90,,
Canal 2,7/7/22,7/8/22,50+50 µLA,21,8,29,2,0.1,580,,420,160,,
Canal 2,7/7/22,7/8/22,50+50 µLA,11,8,19,2,0.1,380,,220,160,,
Canal 2,7/7/22,7/8/22,50+50 µLA,27,10,37,2,0.1,740,,540,200,,
RD6,7/7/22,7/8/22,100µLA,16,19,35,1,0.1,350,,160,190,,
RD6,7/7/22,7/8/22,100µLB,6,19,25,1,0.1,250,,60,190,,
RD6,7/7/22,7/8/22,100µLC,3,10,13,1,0.1,130,,30,100,,
RD6,7/7/22,7/8/22,50+50 µLA,14,15,29,2,0.1,580,g,280,300,,
RD6,7/7/22,7/8/22,50+50 µLA,13,13,26,2,0.1,520,g,260,260,,
RD6,7/7/22,7/8/22,50+50 µLA,7,20,27,2,0.1,540,g,140,400,,
Milli Q,7/7/22,7/8/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/7/22,7/8/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,7/8/22,7/9/22,100µLA,15,2,17,1,0.1,170,g,150,20,,
BO,7/8/22,7/9/22,100µLB,21,6,27,1,0.1,270,g,210,60,,
BO,7/8/22,7/9/22,100µLC,11,9,20,1,0.1,200,g,110,90,,
BO,7/8/22,7/9/22,50+50 µLA,23,5,28,2,0.1,560,,460,100,,
BO,7/8/22,7/9/22,50+50 µLA,4,1,5,2,0.1,100,,80,20,,
BO,7/8/22,7/9/22,50+50 µLA,10,0,10,2,0.1,200,,200,0,,
Canal 2,7/8/22,7/9/22,100µLA,75,7,82,1,0.1,820,g,750,70,,
Canal 2,7/8/22,7/9/22,100µLB,88,19,107,1,0.1,1070,g,880,190,,
Canal 2,7/8/22,7/9/22,100µLC,92,17,109,1,0.1,1090,g,920,170,,
Canal 2,7/8/22,7/9/22,50+50 µLA,13,3,16,2,0.1,320,,260,60,,
Canal 2,7/8/22,7/9/22,50+50 µLA,5,5,10,2,0.1,200,,100,100,,
Canal 2,7/8/22,7/9/22,50+50 µLA,6,2,8,2,0.1,160,,120,40,,
RD6,7/8/22,7/9/22,100µLA,17,14,31,1,0.1,310,,170,140,,
RD6,7/8/22,7/9/22,100µLB,9,29,38,1,0.1,380,,90,290,,
RD6,7/8/22,7/9/22,100µLC,5,28,33,1,0.1,330,,50,280,,
